SaanichInlet_200m_107_1,0.0440324
SaanichInlet_200m_107_10,0.113526
SaanichInlet_200m_107_11,0
SaanichInlet_200m_107_12,0
SaanichInlet_200m_107_13,0.0527565
SaanichInlet_200m_107_14,0.479359
SaanichInlet_200m_107_15,0
SaanichInlet_200m_107_16,0
SaanichInlet_200m_107_17,0.573072
SaanichInlet_200m_107_18,0
SaanichInlet_200m_107_19,0.0903195
SaanichInlet_200m_107_2,0
SaanichInlet_200m_107_20,0.0147564
SaanichInlet_200m_107_21,0
SaanichInlet_200m_107_22,0
SaanichInlet_200m_107_23,0
SaanichInlet_200m_107_24,0.130415
SaanichInlet_200m_107_25,0.0713445
SaanichInlet_200m_107_26,0
SaanichInlet_200m_107_27,0.267401
SaanichInlet_200m_107_28,0.0426077
SaanichInlet_200m_107_29,0.0567123
SaanichInlet_200m_107_3,0.542581
SaanichInlet_200m_107_30,0
SaanichInlet_200m_107_31,0
SaanichInlet_200m_107_32,0
SaanichInlet_200m_107_33,0.00295658
SaanichInlet_200m_107_34,0
SaanichInlet_200m_107_35,0
SaanichInlet_200m_107_36,0.0765196
SaanichInlet_200m_107_37,0.00403091
SaanichInlet_200m_107_38,0
SaanichInlet_200m_107_39,0.0430072
SaanichInlet_200m_107_4,0.0685238
SaanichInlet_200m_107_40,0
SaanichInlet_200m_107_41,0
SaanichInlet_200m_107_42,0.151756
SaanichInlet_200m_107_43,0
SaanichInlet_200m_107_44,0
SaanichInlet_200m_107_45,0
SaanichInlet_200m_107_46,0
SaanichInlet_200m_107_47,0
SaanichInlet_200m_107_48,0
SaanichInlet_200m_107_49,0.693666
SaanichInlet_200m_107_5,0
SaanichInlet_200m_107_50,0
SaanichInlet_200m_107_51,0
SaanichInlet_200m_107_52,0
SaanichInlet_200m_107_53,0
SaanichInlet_200m_107_54,0.0106341
SaanichInlet_200m_107_55,0.0632325
SaanichInlet_200m_107_56,0
SaanichInlet_200m_107_57,0.172593
SaanichInlet_200m_107_58,0
SaanichInlet_200m_107_59,0
SaanichInlet_200m_107_6,0
SaanichInlet_200m_107_60,0
SaanichInlet_200m_107_61,0.239673
SaanichInlet_200m_107_62,0.158491
SaanichInlet_200m_107_63,0
SaanichInlet_200m_107_64,0.0465128
SaanichInlet_200m_107_65,0.339327
SaanichInlet_200m_107_66,0
SaanichInlet_200m_107_67,0
SaanichInlet_200m_107_68,0.0378003
SaanichInlet_200m_107_69,0
SaanichInlet_200m_107_7,0.126568
SaanichInlet_200m_107_70,0.148256
SaanichInlet_200m_107_71,0.00472441
SaanichInlet_200m_107_72,0.149959
SaanichInlet_200m_107_73,0.0711946
SaanichInlet_200m_107_74,0.0273016
SaanichInlet_200m_107_75,0
SaanichInlet_200m_107_76,0
SaanichInlet_200m_107_77,0
SaanichInlet_200m_107_78,0.044798
SaanichInlet_200m_107_79,0
SaanichInlet_200m_107_8,0
SaanichInlet_200m_107_80,0
SaanichInlet_200m_107_81,0
SaanichInlet_200m_107_82,0.138401
SaanichInlet_200m_107_83,0.0654974
SaanichInlet_200m_107_84,0
SaanichInlet_200m_107_85,0
SaanichInlet_200m_107_9,0.232701
SaanichInlet_200m_109_1,0
SaanichInlet_200m_109_10,0
SaanichInlet_200m_109_11,0
SaanichInlet_200m_109_12,2.72602
SaanichInlet_200m_109_13,0
SaanichInlet_200m_109_14,0
SaanichInlet_200m_109_15,0
SaanichInlet_200m_109_16,0
SaanichInlet_200m_109_17,0.0490899
SaanichInlet_200m_109_18,0.455553
SaanichInlet_200m_109_19,0
SaanichInlet_200m_109_2,0
SaanichInlet_200m_109_20,0.106219
SaanichInlet_200m_109_21,0
SaanichInlet_200m_109_22,0
SaanichInlet_200m_109_23,0
SaanichInlet_200m_109_24,0
SaanichInlet_200m_109_25,0
SaanichInlet_200m_109_26,0
SaanichInlet_200m_109_27,0
SaanichInlet_200m_109_28,0
SaanichInlet_200m_109_29,0.00348188
SaanichInlet_200m_109_3,0
SaanichInlet_200m_109_30,0.0729135
SaanichInlet_200m_109_31,0
SaanichInlet_200m_109_32,0.106696
SaanichInlet_200m_109_33,0
SaanichInlet_200m_109_34,0
SaanichInlet_200m_109_35,0
SaanichInlet_200m_109_36,0
SaanichInlet_200m_109_37,0
SaanichInlet_200m_109_38,0
SaanichInlet_200m_109_39,0
SaanichInlet_200m_109_4,0
